AbsCN.seq	ASCAT	PurBayes	ABSOLUTE	mean	median
TCGA-10-0928-01	0.677171722937731	0.85	0.5403009	0.95	0.754368155734433	0.763585861468865
TCGA-10-0931-01	0.88	0.8	0.8225648	0.9	0.8506412	0.8512824
TCGA-10-0933-01	0.94	0.8	0.8955528	0.91	0.8863882	0.9027764
TCGA-10-0934-01	0.55	0.81	0.8561098	0.91	0.78152745	0.8330549
TCGA-10-0937-01	0.89	0.81	0.6813826	0.9	0.82034565	0.85
TCGA-12-0616-01	0.67	0.71	0.7348086	0.86	0.74370215	0.7224043
TCGA-12-0618-01	0.84	0.84	0.9530549	0.95	0.895763725	0.895
TCGA-12-0619-01	0.53	0.61	0.9290372	0.79	0.7147593	0.7
TCGA-12-0821-01	0.67	0.83	0.9179592	0.9	0.8294898	0.865
TCGA-12-3650-01	0.75	0.8	0.8218156	0.87	0.8104539	0.8109078
TCGA-12-3652-01	0.82	0.73	0.8605674	0.92	0.83264185	0.8402837
TCGA-12-3653-01	0.667903688601405	0.81	0.5876415	0.92	0.746386297150351	0.738951844300702
TCGA-12-5295-01	0.77	0.68	0.713136	0.73	0.723284	0.721568
TCGA-12-5299-01	0.8	0.67	0.8715751	0.9	0.810393775	0.83578755
TCGA-13-0714-01	0.71	0.71	0.2840476	0.76	0.6160119	0.71
TCGA-13-0720-01	0.71	0.83	0.8309127	0.854330343970179	0.806310760992545	0.83045635
TCGA-13-0724-01	0.8	0.62	0.805252	0.791851943667399	0.75427598591685	0.7959259718337
TCGA-13-0725-01	0.67	0.74	0.7073713	0.772773019504779	0.722536079876195	0.72368565
TCGA-13-0726-01	0.61	0.71	0.7393686	0.73	0.69734215	0.72
TCGA-13-0760-01	0.76	0.76	0.9621808	0.81	0.8230452	0.785
TCGA-13-0768-01	0.81	0.23	0.419414842185954	0.21	0.417353710546488	0.324707421092977
TCGA-13-0795-01	0.38	0.48	0.864122	0.48	0.5510305	0.48
TCGA-13-0797-01	0.81	0.86	0.6226438	0.841050857978378	0.783423664494594	0.825525428989189
TCGA-13-0800-01	0.64	0.71	0.5065431	0.8	0.664135775	0.675
TCGA-13-0804-01	0.82	0.81	0.8543714	0.86	0.83609285	0.8371857
TCGA-13-0883-01	0.6	0.57	0.6409393	0.72	0.632734825	0.62046965
TCGA-13-0884-01	0.61	0.54	0.3408853	0.58	0.517721325	0.56
TCGA-13-0885-01	0.49	0.43	0.360231	0.49	0.44255775	0.46
TCGA-13-0886-01	0.53	0.42	0.534751675325273	0.61	0.523687918831318	0.532375837662637
TCGA-13-0887-01	0.71	0.72	0.8872086	0.91	0.80680215	0.8036043
TCGA-13-0888-01	0.58	0.71	0.5186653	0.79	0.649666325	0.645
