,purity
TCGA-EL-A3GX-01,0.5294549762573549
TCGA-EL-A3GY-01,0.315
TCGA-EL-A3GZ-01,0.479169315044648
TCGA-EL-A3H1-01,0.805
TCGA-EL-A3H2-01,0.79530115
TCGA-EL-A3H3-01,0.3
TCGA-EL-A3H4-01,0.565
TCGA-EL-A3H5-01,0.400092570250011
TCGA-EL-A3H7-01,0.5502910711114289
TCGA-EL-A3H8-01,0.51
TCGA-EL-A3MW-01,0.58
TCGA-EL-A3MX-01,0.645
TCGA-EL-A3MY-01,0.5467907
TCGA-EL-A3MZ-01,0.548064505441503
TCGA-EL-A3N2-01,0.538723
TCGA-EL-A3N3-01,0.485
TCGA-EL-A3T0-01,0.363288056677333
TCGA-EL-A3T1-01,0.39846479999999995
TCGA-EL-A3T2-01,0.71711685
TCGA-EL-A3T3-01,0.54
TCGA-EL-A3T6-01,0.48970652230260403
TCGA-EL-A3T7-01,0.61443245
TCGA-EL-A3T8-01,0.695
TCGA-EL-A3T9-01,0.6
TCGA-EL-A3TA-01,0.315
TCGA-EL-A3TB-01,0.645165420077189
TCGA-EL-A3ZG-01,0.311053677733932
TCGA-EL-A3ZH-01,0.690279253331489
TCGA-EL-A3ZK-01,0.4513107
TCGA-EL-A3ZL-01,0.8495550999999999
TCGA-EL-A3ZM-01,0.46480805
TCGA-EL-A3ZN-01,0.469951160487281
TCGA-EL-A3ZO-01,0.46
TCGA-EL-A3ZP-01,0.54526515
TCGA-EL-A3ZQ-01,0.48
TCGA-EL-A3ZR-01,0.4583018
TCGA-EL-A3ZS-01,0.445
TCGA-EL-A3ZT-01,0.49
TCGA-EL-A4JV-01,0.6173816222478871
TCGA-EL-A4JW-01,0.36358345
TCGA-EL-A4JX-01,0.295
TCGA-EL-A4JZ-01,0.5485521
TCGA-EL-A4K0-01,0.45978475
TCGA-EL-A4K1-01,0.62587895
TCGA-EL-A4K2-01,0.52851755
TCGA-EL-A4K4-01,0.6569455
TCGA-EL-A4K6-01,0.66
TCGA-EL-A4K7-01,0.265
TCGA-EL-A4K9-01,0.6413661999999999
TCGA-EL-A4KD-01,0.604279095106996
TCGA-EL-A4KG-01,0.38
TCGA-EL-A4KH-01,0.31
TCGA-EL-A4KI-01,0.638911721802431
TCGA-EM-A1CS-01,0.6728002
TCGA-EM-A1CT-01,0.5927845
TCGA-EM-A1CU-01,0.56
TCGA-EM-A1CV-01,0.5852636999999999
TCGA-EM-A1CW-01,0.5183123
TCGA-EM-A1YA-01,0.5
TCGA-EM-A1YB-01,0.53175775
TCGA-EM-A1YC-01,0.54278806248748
TCGA-EM-A1YD-01,0.29000146975727803
TCGA-EM-A1YE-01,0.50533665
TCGA-EM-A22I-01,0.52809375
TCGA-EM-A22J-01,0.5041295
TCGA-EM-A22K-01,0.73244595
TCGA-EM-A22L-01,0.7337399
TCGA-EM-A22M-01,0.41
TCGA-EM-A22N-01,0.24125905
TCGA-EM-A22O-01,0.8162764
TCGA-EM-A22P-01,0.33
TCGA-EM-A22Q-01,0.59859279135968
TCGA-EM-A2CJ-01,0.76405835
TCGA-EM-A2CK-01,0.57376355
TCGA-EM-A2CL-01,0.69
TCGA-EM-A2CN-01,0.72465995
TCGA-EM-A2CO-01,0.472127821640036
TCGA-EM-A2CP-01,0.42
TCGA-EM-A2CQ-01,0.48
TCGA-EM-A2CT-01,0.4660512938475
TCGA-EM-A2CU-01,0.34224255
TCGA-EM-A2OV-01,0.2900574
TCGA-EM-A2OW-01,0.445
TCGA-EM-A2OX-01,0.31628615
TCGA-EM-A2OY-01,0.735
TCGA-EM-A2OZ-01,0.61997575
TCGA-EM-A2P0-01,0.58015575
TCGA-EM-A2P1-01,0.27
TCGA-EM-A2P2-01,0.75591555
TCGA-EM-A2P3-01,0.46582635
TCGA-EM-A3AI-01,0.6
TCGA-EM-A3AJ-01,0.365
TCGA-EM-A3AK-01,0.43014709999999995
TCGA-EM-A3AL-01,0.5326143
TCGA-EM-A3AN-01,0.48275340000000005
TCGA-EM-A3AO-01,0.46499890000000005
TCGA-EM-A3AP-01,0.6062875
TCGA-EM-A3AQ-01,0.576304672843678
TCGA-EM-A3AR-01,0.335
TCGA-EM-A3FJ-01,0.445
TCGA-EM-A3FK-01,0.486717957877863
TCGA-EM-A3FL-01,0.44561115
TCGA-EM-A3FM-01,0.53
TCGA-EM-A3FN-01,0.5964856858326629
TCGA-EM-A3FO-01,0.53142475
TCGA-EM-A3FP-01,0.60691825
TCGA-EM-A3FQ-01,0.29767185552884
TCGA-EM-A3FR-01,0.6777783000000001
TCGA-EM-A3O3-01,0.63428215
TCGA-EM-A3O6-01,0.60086025
TCGA-EM-A3O7-01,0.6087187
TCGA-EM-A3O8-01,0.57
TCGA-EM-A3O9-01,0.37422416384560103
TCGA-EM-A3OA-01,0.53647435
TCGA-EM-A3OB-01,0.84078575
TCGA-EM-A3ST-01,0.615
TCGA-EM-A3SU-01,0.415
TCGA-EM-A3SX-01,0.63
TCGA-EM-A3SY-01,0.50375775
TCGA-EM-A3SZ-01,0.53959705
TCGA-EM-A4FF-01,0.345586
TCGA-EM-A4FH-01,0.49
TCGA-EM-A4FK-01,0.53492795
TCGA-EM-A4FM-01,0.57607473805041
TCGA-EM-A4FN-01,0.47
TCGA-EM-A4FO-01,0.26599415
TCGA-EM-A4FQ-01,0.49
TCGA-EM-A4FR-01,0.7281236999999999
TCGA-EM-A4FU-01,0.65553105
TCGA-EM-A4FV-01,0.32696745
TCGA-EM-A4G1-01,0.64
TCGA-ET-A25G-01,0.57590995
TCGA-ET-A25I-01,0.655
TCGA-ET-A25J-01,0.545
TCGA-ET-A25K-01,0.48719205
TCGA-ET-A25O-01,0.8464288000000001
TCGA-ET-A25R-01,0.52
TCGA-ET-A2MX-01,0.60536395
TCGA-ET-A2MY-01,0.685
TCGA-ET-A2MZ-01,0.42713735
TCGA-ET-A2N0-01,0.5778005612448349
TCGA-ET-A2N3-01,0.52803605
TCGA-ET-A2N4-01,0.7329800999999999
TCGA-ET-A2N5-01,0.75622375
TCGA-ET-A39I-01,0.6
TCGA-ET-A39J-01,0.6223472
TCGA-ET-A39K-01,0.605
TCGA-ET-A39L-01,0.26
TCGA-ET-A39M-01,0.39
TCGA-ET-A39N-01,0.3781369181552321
TCGA-ET-A39O-01,0.5781629
TCGA-ET-A39P-01,0.661418871154845
TCGA-ET-A39R-01,0.335
TCGA-ET-A39S-01,0.35194570000000003
TCGA-ET-A39T-01,0.59651235
TCGA-ET-A3BN-01,0.47557975
TCGA-ET-A3BO-01,0.47
TCGA-ET-A3BP-01,0.54617485
TCGA-ET-A3BQ-01,0.325
TCGA-ET-A3BS-01,0.65661235
TCGA-ET-A3BT-01,0.57870155
TCGA-ET-A3BU-01,0.4860505
TCGA-ET-A3BV-01,0.285342376093811
TCGA-ET-A3BW-01,0.525
TCGA-ET-A3BX-01,0.5348859
TCGA-ET-A3DO-01,0.475
TCGA-ET-A3DP-01,0.56
TCGA-ET-A3DQ-01,0.26412715
TCGA-ET-A3DR-01,0.595
TCGA-ET-A3DS-01,0.6726569
TCGA-ET-A3DT-01,0.32525285
TCGA-ET-A3DU-01,0.25
TCGA-ET-A3DV-01,0.605
TCGA-ET-A3DW-01,0.63
TCGA-ET-A40P-01,0.655
TCGA-ET-A40Q-01,0.536275269305649
TCGA-ET-A40R-01,0.4730411726043521
TCGA-ET-A40S-01,0.54
TCGA-ET-A40T-01,0.5550121964388841
TCGA-ET-A4KN-01,0.305
TCGA-ET-A4KQ-01,0.395
TCGA-FE-A22Z-01,0.67949085
TCGA-FE-A230-01,0.30266370000000004
TCGA-FE-A231-01,0.8186213999999999
TCGA-FE-A232-01,0.41304615
TCGA-FE-A233-01,0.5062005999999999
TCGA-FE-A234-01,0.527475521623082
TCGA-FE-A235-01,0.78274895
TCGA-FE-A236-01,0.5948982
TCGA-FE-A237-01,0.571901362072085
TCGA-FE-A23A-01,0.4518371
TCGA-FE-A3PA-01,0.681172315945339
TCGA-FE-A3PB-01,0.485
TCGA-FE-A3PC-01,0.58
TCGA-FE-A3PD-01,0.77717665
TCGA-FK-A3S3-01,0.49201025
TCGA-FK-A3SB-01,0.5297444
TCGA-FK-A3SD-01,0.4031885
TCGA-FK-A3SE-01,0.56618105
TCGA-FK-A3SG-01,0.52
TCGA-FK-A3SH-01,0.47186045
TCGA-FK-A4UB-01,0.5452486
TCGA-FY-A2QD-01,0.67880355
TCGA-FY-A3BL-01,0.5326601813640829
TCGA-FY-A3I4-01,0.285
TCGA-FY-A3I5-01,0.6145339
TCGA-FY-A3NM-01,0.82402435
TCGA-FY-A3NN-01,0.535
TCGA-FY-A3ON-01,0.315
