"","ESTIMATE"
"TCGA-AG-A023-01","0.826304200654587"
"TCGA-AG-A025-01","0.890324648621177"
"TCGA-AG-A026-01","0.926430098476456"
"TCGA-AG-A02G-01","0.944347236584646"
"TCGA-AG-A02N-01","0.907706394527245"
"TCGA-AG-A02X-01","0.940143871828255"
"TCGA-AG-A032-01","0.906828422853949"
"TCGA-AY-4070-01","0.861845317896681"
"TCGA-AY-4071-01","0.750257860075549"
"TCGA-AZ-4308-01","0.788044023748718"
"TCGA-AZ-4313-01","0.916850369312697"
"TCGA-AZ-4684-01","0.768213825775497"
"TCGA-CM-4746-01","0.921628737705268"
"TCGA-CM-4748-01","0.828306734367081"
"TCGA-CM-4750-01","0.87414216950307"
"TCGA-CM-4752-01","0.774880393668865"
"TCGA-CM-5341-01","0.63125249673802"
"TCGA-DC-6156-01","0.590732113175047"
"TCGA-DM-A1D6-01","0.976405658174398"
"TCGA-DY-A1DE-01","0.861523946925443"
"TCGA-EF-5831-01","0.840890591362914"
"TCGA-EI-6883-01","0.887555645645305"
"TCGA-G4-6317-02","0.945707970659507"
"TCGA-G4-6323-01","0.892630093534553"
"TCGA-NH-A8F7-06","0.98570754134351"
