,mean_z_low,Cell type
HN25_P25_A03_S291_comb,0.013897126845799402,Non-malignant
HN25_P25_A06_S294_comb,0.3749865652788888,Non-malignant
HN25_P25_A07_S295_comb,-0.1623862092717337,Non-malignant
HN25_P25_A08_S296_comb,-0.08071931421501807,Non-malignant
HN25_P25_A10_S298_comb,0.06177876335879992,Non-malignant
HN25_P25_A11_S299_comb,0.10911771446053224,Non-malignant
HN25_P25_B07_S307_comb,-0.31428810376454297,Non-malignant
HN25_P25_B08_S308_comb,-0.22661868060264329,Non-malignant
HN25_P25_C01_S313_comb,-0.044734842808977375,Non-malignant
HN25_P25_C02_S314_comb,-0.1076517696260567,Non-malignant
HN25_P25_C08_S320_comb,0.09113159394405287,Non-malignant
HN25_P25_C09_S321_comb,0.09186078642234843,Non-malignant
HN25_P25_C11_S323_comb,0.22448435489368673,Non-malignant
HN25_P25_D07_S331_comb,0.0658124774495997,Non-malignant
HN25_P25_E01_S337_comb,-0.03665621915528224,Non-malignant
HN25_P25_E02_S338_comb,-0.1670262928377164,Non-malignant
HN25_P25_E06_S342_comb,-0.1069052411098159,Non-malignant
HN25_P25_E07_S343_comb,0.0035815931518151847,Non-malignant
HN25_P25_E09_S345_comb,-0.034874439348062364,Non-malignant
HN25_P25_E12_S348_comb,0.4159092685666119,Non-malignant
HN25_P25_F01_S349_comb,-0.15663814137867044,Non-malignant
HN25_P25_F03_S351_comb,-0.26030295759401273,Non-malignant
HN25_P25_F05_S353_comb,-0.24462538900018801,Non-malignant
HN25_P25_F11_S359_comb,0.034035649179812465,Non-malignant
HN25_P5_A05_S5_comb,-0.009230406880611903,Non-malignant
HN25_P5_A08_S8_comb,0.5615216980728703,Non-malignant
HN25_P5_A09_S9_comb,-0.06298185989468384,Non-malignant
HN25_P5_A10_S10_comb,0.7075510749181916,Non-malignant
HN25_P5_A12_S12_comb,0.5991469540442166,Non-malignant
HN25_P5_B01_S13_comb,0.09735836917110238,Non-malignant
HN25_P5_B02_S14_comb,0.0961954156512857,Non-malignant
HN25_P5_B03_S15_comb,0.07244022413213042,Non-malignant
HN25_P5_B04_S16_comb,0.14769261409365367,Non-malignant
HN25_P5_B06_S18_comb,0.14439734949411637,Non-malignant
HN25_P5_B07_S19_comb,0.056078737981571536,Non-malignant
HN25_P5_B08_S20_comb,0.2232191948848904,Non-malignant
HN25_P5_C03_S27_comb,-0.06838901853964675,Non-malignant
HN25_P5_C05_S29_comb,0.5126968576193996,Non-malignant
HN25_P5_C08_S32_comb,0.597809709168793,Non-malignant
HN25_P5_C10_S34_comb,0.32866301610205917,Non-malignant
HN25_P5_C11_S35_comb,-0.10578573936701738,Non-malignant
HN25_P5_C12_S36_comb,0.6488201537967327,Non-malignant
HN25_P5_D01_S37_comb,0.1253217548356257,Non-malignant
HN25_P5_D02_S38_comb,0.7301740028251109,Non-malignant
HN25_P5_D04_S40_comb,-0.10249520012569457,Non-malignant
HN25_P5_D05_S41_comb,-0.07128234895412786,Non-malignant
HN25_P5_D07_S43_comb,0.7218771906142943,Non-malignant
HN25_P5_D10_S46_comb,0.40389589647259466,Non-malignant
HN25_P5_E03_S51_comb,-0.11925637857747562,Non-malignant
HN25_P5_E04_S52_comb,0.3493608521972013,Non-malignant
HN25_P5_E05_S53_comb,0.6082559833305173,Non-malignant
HN25_P5_E06_S54_comb,0.13358264682767815,Non-malignant
HN25_P5_E08_S56_comb,0.15621722045849643,Non-malignant
HN25_P5_E10_S58_comb,0.12558100891239382,Non-malignant
HN25_P5_E12_S60_comb,0.22437025977289962,Non-malignant
HN25_P5_F01_S61_comb,0.3669122452424149,Non-malignant
HN25_P5_F02_S62_comb,0.03305202043261907,Non-malignant
HN25_P5_F06_S66_comb,0.10979264008485358,Non-malignant
HN25_P5_F08_S68_comb,0.08960527087613684,Non-malignant
HN25_P5_G04_S76_comb,0.3154406669454616,Non-malignant
HN25_P5_G08_S80_comb,0.1867089857141272,Non-malignant
HN25_P5_G09_S81_comb,0.21598308322523363,Non-malignant
HN25_P5_G10_S82_comb,0.34065255548446766,Non-malignant
HN25_P5_G12_S84_comb,0.19042434944629574,Non-malignant
HN25_P5_H01_S85_comb,0.39979151330903845,Non-malignant
HN25_P5_H02_S86_comb,0.10355488238267355,Non-malignant
HN25_P5_H03_S87_comb,-0.1515292502127422,Non-malignant
HN25_P5_H05_S89_comb,0.10474021999158133,Non-malignant
HN25_P5_H06_S90_comb,-0.15111373854747215,Non-malignant
HN25_P5_H07_S91_comb,0.3747199221168993,Non-malignant
HN25_P5_H08_S92_comb,-0.09143438052816917,Non-malignant
HN25_P5_H09_S93_comb,-0.057235554651295574,Non-malignant
HN25_P5_H11_S95_comb,-0.02807805270716419,Non-malignant
HN26_P13_A02_S98_comb,0.05353764642304502,Non-malignant
HN26_P13_A11_S107_comb,0.4597566305578944,Non-malignant
HN26_P13_D07_S139_comb,-0.1472571824864187,Non-malignant
HN26_P13_E07_S151_comb,0.0009371129814740271,Non-malignant
HN26_P13_E09_S153_comb,0.23380526543086438,Non-malignant
HN26_P13_F04_S160_comb,-0.10165882532764267,Non-malignant
HN26_P13_F07_S163_comb,0.4762208666134758,Non-malignant
HN26_P13_G06_S174_comb,0.22208733031114097,Non-malignant
HN26_P13_G10_S178_comb,0.339048700654872,Non-malignant
HN26_P13_H03_S183_comb,0.4850910085618853,Non-malignant
HN26_P13_H09_S189_comb,0.44646218937316096,Non-malignant
HN26_P14_A02_S194_comb,-0.08607597553496697,Non-malignant
HN26_P14_A05_S197_comb,-0.10189414411541785,Non-malignant
HN26_P14_A12_S204_comb,0.05188785789991208,Non-malignant
HN26_P14_C03_S219_comb,0.30027303176789644,Non-malignant
HN26_P14_C05_S221_comb,0.020180258870363062,Non-malignant
HN26_P14_C09_S225_comb,-0.1455694327430652,Non-malignant
HN26_P14_D01_S229_comb,-0.043586513169318816,Non-malignant
HN26_P14_D03_S231_comb,0.09923951124064896,Non-malignant
HN26_P14_D07_S235_comb,-0.08420713212198111,Non-malignant
HN26_P14_D08_S236_comb,-0.11121071640640202,Non-malignant
HN26_P14_E01_S241_comb,0.2765042183376237,Non-malignant
HN26_P14_E08_S248_comb,-0.09722990437003384,Non-malignant
HN26_P14_E09_S249_comb,-0.11812421369283414,Non-malignant
HN26_P14_F05_S257_comb,0.2918278771349375,Non-malignant
HN26_P14_F07_S259_comb,-0.009865690517491244,Non-malignant
HN26_P14_G04_S268_comb,0.20735327693167105,Non-malignant
HN26_P14_G11_S275_comb,-0.18043740230202693,Non-malignant
HN26_P14_H05_S281_comb,0.1444087952096926,Non-malignant
HN26_P14_H08_S284_comb,0.17843945646086015,Non-malignant
HN26_P14_H11_S287_comb,0.20687309764464484,Non-malignant
HN26_P25_A07_S103_comb,0.16816115557555184,Non-malignant
HN26_P25_A11_S107_comb,0.007641009648776867,Non-malignant
HN26_P25_D04_S136_comb,0.28081414330641297,Non-malignant
HN26_P25_E12_S156_comb,-0.07318435997700681,Non-malignant
HN26_P25_G06_S174_comb,0.05705943117661006,Non-malignant
HN26_P26_A03_S291_comb,-0.0538297094023182,Non-malignant
HN26_P26_B04_S304_comb,-0.15181230522728484,Non-malignant
HN26_P26_B05_S305_comb,-0.16339608431049032,Non-malignant
HN26_P26_C09_S321_comb,1.3675712129539501,Non-malignant
HN26_P26_C10_S322_comb,-0.13298888699015776,Non-malignant
HN26_P26_D10_S334_comb,-0.11762638065638543,Non-malignant
