,mean_z_high,Cell type,mean_z_low
HN25_P23_F01_S253_comb,-0.05583159118169963,Non-malignant,0.07743770026405267
HN25_P23_F04_S256_comb,-0.3629858949134945,Non-malignant,-0.028856252513474158
HN25_P23_F07_S259_comb,-0.33079406832179986,Non-malignant,-0.22617004904468546
HN25_P23_G05_S269_comb,-0.38411772290336044,Non-malignant,0.31379975467725113
HN25_P23_H02_S278_comb,0.3483430445347663,Non-malignant,-0.14892620822235555
HN25_P23_H03_S279_comb,0.3583260520060014,Non-malignant,0.6154570232650373
HN25_P23_H08_S284_comb,0.004987562899810607,Non-malignant,0.013965342998575379
HN25_P23_H09_S285_comb,-0.3824486917432694,Non-malignant,-0.030695130578326915
HN25_P23_H10_S286_comb,-0.21618634676874235,Non-malignant,0.10069856096627858
HN25_P24_A01_S97_comb,-0.221077833917444,Non-malignant,0.2458342068325127
HN25_P24_A04_S100_comb,-0.19316138860645346,Non-malignant,0.06120076083865355
HN25_P24_A05_S101_comb,-0.37884129990119775,Non-malignant,-0.23269025010702402
HN25_P24_A08_S104_comb,-0.3336583408967107,Non-malignant,0.33218362713333544
HN25_P24_A12_S108_comb,-0.16432871191008397,Non-malignant,0.06357723312002198
HN25_P24_B06_S114_comb,0.21600686695815888,Non-malignant,0.12157768962037172
HN25_P24_B12_S120_comb,-0.3907924597502932,Non-malignant,-0.005005424005066003
HN25_P24_C08_S128_comb,0.10976575593039663,Non-malignant,0.1984592597616964
HN25_P24_C10_S130_comb,-0.06720011372361749,Non-malignant,0.1881000092435188
HN25_P24_D02_S134_comb,-0.24623882513056283,Non-malignant,-0.11720518149069703
HN25_P24_D08_S140_comb,0.18477887876757448,Non-malignant,0.09580412424728155
HN25_P24_D09_S141_comb,-0.022593201077530607,Non-malignant,-0.1712693005478931
HN25_P24_D12_S144_comb,-0.22060421068704067,Non-malignant,0.12186972279153788
HN25_P24_E04_S148_comb,-0.28917522106315535,Non-malignant,0.12120552400758615
HN25_P24_E11_S155_comb,0.07929294402882132,Non-malignant,-0.0734257754073777
HN25_P24_F02_S158_comb,-0.27408231450906595,Non-malignant,-0.05083586906463407
HN25_P24_F05_S161_comb,-0.018626543982446588,Non-malignant,0.0810004171910178
HN25_P24_F06_S162_comb,-0.2643002739725616,Non-malignant,0.27055332049020264
HN25_P24_F08_S164_comb,-0.2503777092452882,Non-malignant,-0.12583194844719356
HN25_P24_G02_S170_comb,-0.16076917479101976,Non-malignant,0.10988933446676578
HN25_P24_G09_S177_comb,-0.24026281797586244,Non-malignant,0.03277651226618632
HN25_P24_H04_S184_comb,-0.007592890389946176,Non-malignant,0.2629269706049303
HN25_P24_H12_S192_comb,0.07125082836664808,Non-malignant,-0.10436716426461602
HN25_P25_A03_S291_comb,-0.060380915988827714,Non-malignant,0.013897126845799402
HN25_P25_A06_S294_comb,-0.13272869292542777,Non-malignant,0.3749865652788888
HN25_P25_A07_S295_comb,-0.3535710584348132,Non-malignant,-0.1623862092717337
HN25_P25_A08_S296_comb,-0.2238229775256577,Non-malignant,-0.08071931421501807
HN25_P25_A10_S298_comb,-0.20562049048744965,Non-malignant,0.06177876335879992
HN25_P25_A11_S299_comb,-0.1714133805748769,Non-malignant,0.10911771446053224
HN25_P25_B07_S307_comb,0.07907377817845207,Non-malignant,-0.31428810376454297
HN25_P25_B08_S308_comb,-0.044824155829111825,Non-malignant,-0.22661868060264329
