"","Cell type 1","Cell type 2"
"TCGA-QR-A70N-01",0.262471894908276,0.806134155632433
"TCGA-TT-A6YP-01",0.253672097477824,0.893816786569733
"TCGA-SR-A6MZ-01",0.21212831769681,0.851058895755351
"TCGA-QT-A5XL-01",0.422859465662687,0.782471084803851
"TCGA-QR-A70J-01",0.510991626435558,0.677061210858672
"TCGA-SP-A6QD-01",0.156665563331046,0.69604241601025
"TCGA-RW-A7CZ-01",0.120456916822051,0.873553235647172
"TCGA-SP-A6QC-01",0.174848424317265,0.901105563284073
"TCGA-P7-A5NY-05",0.175810067778954,0.876710610347139
"TCGA-S7-A7WW-01",0.190844883413388,0.636567167432142
"TCGA-QR-A70P-01",0.0714514269337167,0.871498028041757
"TCGA-SA-A6C2-01",0.0837198322180027,0.984840454375079
"TCGA-S7-A7X0-01",0.230717561946651,0.916474328527425
"TCGA-WB-A81P-01",0.0679174342020011,1.02048496532706
"TCGA-P8-A6RY-01",0.0774700388546979,0.747015152523775
"TCGA-RW-A68A-01",0.0506993946051593,0.944395922763636
"TCGA-QR-A70E-01",0.0450540537414159,0.906190971615614
"TCGA-WB-A81J-01",0.0673576659041941,0.859535352545563
"TCGA-S7-A7X1-01",0.253151974867874,0.782812414486383
"TCGA-WB-A819-01",0.097191093661025,0.985226203344123
"TCGA-QR-A6H0-01",0.313046164563311,0.985055770040076
"TCGA-WB-A81Q-01",0.0449799217066015,1.02493365788786
"TCGA-S7-A7WX-01",0.121315189354676,0.846200260361863
"TCGA-RW-A680-01",0.127753326571521,0.685564768936973
"TCGA-P7-A5NY-01",0.0327062587776636,1.01654110103376
"TCGA-RW-A67W-01",0.0694264278376164,0.712256406608022
"TCGA-SR-A6MT-01",0.0431622642512879,0.804808217935641
"TCGA-QR-A6H1-01",0.0708227318583215,0.811347407193935
"TCGA-SP-A6QJ-01",0.0905543691446212,0.766886396651272
"TCGA-QR-A70D-01",0.0999506829596597,0.924632961869403
"TCGA-QT-A7U0-01",0.0886678968128247,0.960531219056862
"TCGA-QT-A5XO-01",0.090353021833965,0.926985054021247
"TCGA-RT-A6YA-01",0.141745036923897,0.748624859498986
"TCGA-WB-A80O-01",0.215373503733652,0.89707063088201
"TCGA-SR-A6MP-01",0.103758125998429,0.813511650027852
"TCGA-RW-A686-06",0.15119801366164,0.890515256109676
"TCGA-WB-A814-01",0.185267090121191,0.802499574908596
