samples	theta2	titanCNA	abscnseq.gsk	PurBayes.gsk	Average
GSK306	0.492	0.526	0.69	0.688	0.6
GSK307	0.457	0.219	0.47	0.405	0.39
GSK308	0.622	0.274	0.32	0.365	0.4
GSK309	0.138	0.51	0.47	0.323	0.36
GSK310	0.443	0.378	0.52	0.308	0.41
GSK311	0.364	0.395	0.38	0.364	0.38
GSK312	0.2	0.41	0.46	0.406	0.37
GSK313	0.336	0.42	0.41	0.443	0.4
GSK314	0.684	0.55	0.42	0.823	0.62
GSK315	0.487	0.55	0.33	0.473	0.46
GSK316	0.185	0.297	0.34	0.415	0.31
GSK317	0.324	0.517	0.52	0.266	0.41
GSK318	0.463	0.476	0.43	0.31	0.42
