"","ESTIMATE"
"TCGA-BS-A0UJ-01","0.854852263334079"
"TCGA-BS-A0UL-01","0.660769132531913"
"TCGA-BS-A0UT-01","0.902586214998518"
"TCGA-BS-A0UV-01","0.90588695887693"
"TCGA-BS-A0V6-01","0.848879712085507"
"TCGA-BS-A0V8-01","0.833969982711345"
"TCGA-BS-A0VI-01","0.847917467965494"
"TCGA-BS-A0WQ-01","0.949399495734251"
"TCGA-D1-A0ZN-01","0.846936835239923"
"TCGA-D1-A0ZO-01","0.801227542748102"
"TCGA-D1-A0ZP-01","0.931674119107144"
"TCGA-D1-A0ZQ-01","0.840535078083862"
"TCGA-D1-A0ZR-01","0.949831259873853"
"TCGA-D1-A0ZS-01","0.911377591934787"
"TCGA-D1-A0ZV-01","0.737458565642028"
"TCGA-D1-A0ZZ-01","0.978424338558176"
"TCGA-D1-A101-01","0.682458910114545"
"TCGA-D1-A102-01","0.83809063617909"
"TCGA-D1-A103-01","0.859767367498623"
"TCGA-D1-A15V-01","0.916323894301421"
"TCGA-D1-A15W-01","0.850639827776703"
"TCGA-D1-A15X-01","0.847984181392585"
"TCGA-D1-A15Z-01","0.927886192585339"
"TCGA-D1-A160-01","0.813749920144264"
"TCGA-D1-A161-01","0.910455545160402"
"TCGA-D1-A163-01","0.846204229270993"
"TCGA-D1-A165-01","0.915296944883319"
"TCGA-D1-A167-01","0.97330761073422"
"TCGA-D1-A168-01","0.858138028656004"
"TCGA-D1-A169-01","0.722511883881165"
"TCGA-D1-A16B-01","0.830288951870909"
"TCGA-D1-A16D-01","0.830271724527421"
"TCGA-D1-A16E-01","0.847533709973321"
"TCGA-D1-A16G-01","0.934109986526212"
"TCGA-D1-A16I-01","0.870812300480354"
"TCGA-D1-A16J-01","0.807901506849226"
"TCGA-D1-A16N-01","0.8694894887047"
"TCGA-D1-A16O-01","0.924364678157485"
"TCGA-D1-A16Q-01","0.7944939380289"
"TCGA-D1-A16R-01","0.81192806990201"
"TCGA-D1-A16S-01","0.914221527915251"
"TCGA-D1-A16V-01","0.863724533902561"
"TCGA-D1-A16X-01","0.760253293863104"
"TCGA-D1-A16Y-01","0.931576332480277"
"TCGA-D1-A174-01","0.683177359631059"
"TCGA-D1-A175-01","0.944718939196617"
"TCGA-D1-A176-01","0.91510707364054"
"TCGA-D1-A177-01","0.97742270796644"
"TCGA-D1-A179-01","0.951788344392825"
"TCGA-D1-A17A-01","0.854310946181729"
"TCGA-D1-A17B-01","0.619449193836642"
"TCGA-D1-A17C-01","0.728278136524456"
"TCGA-D1-A17D-01","0.823390933359523"
"TCGA-D1-A17F-01","0.841156771898874"
"TCGA-D1-A17H-01","0.797744683219785"
"TCGA-D1-A17K-01","0.944764981701713"
"TCGA-D1-A17L-01","0.818842587192627"
"TCGA-D1-A17M-01","0.901410220078624"
"TCGA-D1-A17N-01","0.713322289491255"
"TCGA-D1-A17Q-01","0.923442323730847"
"TCGA-D1-A17R-01","0.885093154287029"
"TCGA-D1-A17S-01","0.92608277660722"
"TCGA-D1-A17T-01","0.890454542160013"
"TCGA-D1-A17U-01","0.867512460259284"
"TCGA-D1-A1NS-01","0.906871624600491"
"TCGA-D1-A1NU-01","0.900309271894496"
"TCGA-D1-A1NW-01","0.898217963380521"
"TCGA-D1-A1NX-01","0.923406854454529"
"TCGA-D1-A1NY-01","0.87440108678469"
"TCGA-D1-A1NZ-01","0.880207335889449"
"TCGA-D1-A1O0-01","0.951727767694691"
"TCGA-D1-A1O5-01","0.885038846674416"
"TCGA-D1-A1O7-01","0.933852232766693"
"TCGA-D1-A1O8-01","0.650740851178095"
"TCGA-D1-A2G5-01","0.970423255870573"
"TCGA-D1-A2G6-01","0.843280656663082"
"TCGA-D1-A2G7-01","0.945196364972623"
"TCGA-DF-A2KS-01","0.867954168133549"
"TCGA-DI-A0WH-01","0.931844321252541"
"TCGA-DI-A1BY-01","0.769451462901155"
"TCGA-DI-A1NN-01","0.790303970083034"
"TCGA-DI-A1NO-01","0.979561167159313"
"TCGA-DI-A2QU-01","0.927332575939534"
"TCGA-E6-A1LX-01","0.954853998526996"
"TCGA-E6-A1LZ-01","0.915560177963725"
"TCGA-E6-A1M0-01","0.894472686911976"
"TCGA-EC-A1NJ-01","0.741624578312998"
"TCGA-EC-A1QX-01","0.780607060882181"
"TCGA-EC-A24G-01","0.798509652743895"
"TCGA-EO-A1Y5-01","0.793749559752524"
"TCGA-EO-A1Y8-01","0.942480202791356"
"TCGA-EO-A22R-01","0.899177598713766"
"TCGA-EO-A22S-01","0.9664138482832"
"TCGA-EO-A22T-01","0.823753379025738"
"TCGA-EO-A2CG-01","0.899348169364368"
"TCGA-EO-A2CH-01","0.95693638315646"
"TCGA-EY-A1G7-01","0.95218959726628"
"TCGA-EY-A1G8-01","0.968322051529452"
"TCGA-EY-A1GC-01","0.796703283370466"
"TCGA-EY-A1GD-01","0.937405886669274"
"TCGA-EY-A1GE-01","0.832382774415578"
"TCGA-EY-A1GF-01","0.909796061792776"
"TCGA-EY-A1GH-01","0.907728634586111"
"TCGA-EY-A1GI-01","0.885796128828717"
"TCGA-EY-A1GK-01","0.812104108763168"
"TCGA-EY-A1GM-01","0.975800500038921"
"TCGA-EY-A1GQ-01","0.87730245328857"
"TCGA-EY-A1GR-01","0.824510921917913"
"TCGA-EY-A1GS-01","0.933747791329852"
"TCGA-EY-A1GU-01","0.918233667551003"
"TCGA-EY-A1GV-01","0.849072694149841"
"TCGA-EY-A1GW-01","0.929728593010488"
"TCGA-EY-A1H0-01","0.973819189502014"
"TCGA-EY-A212-01","0.953166240385735"
"TCGA-EY-A214-01","0.808628704355777"
"TCGA-EY-A215-01","0.936517758733433"
"TCGA-EY-A2OM-01","0.867858862845637"
"TCGA-FI-A2CX-01","0.403145314701201"
"TCGA-FI-A2CY-01","0.778579158037052"
"TCGA-FI-A2D0-01","0.904800216415563"
"TCGA-FI-A2D2-01","0.890694308572595"
"TCGA-FI-A2D4-01","0.928248424721924"
"TCGA-FI-A2D5-01","0.86678772673291"
"TCGA-FI-A2D6-01","0.839570213036326"
"TCGA-FI-A2EU-01","0.98566748651131"
"TCGA-FI-A2EW-01","0.931550179977308"
"TCGA-FI-A2EX-01","0.930622585463261"
"TCGA-FI-A2F4-01","0.844703618743498"
"TCGA-FI-A2F8-01","0.883806248271734"
"TCGA-FI-A2F9-01","0.947175353301454"
