"","x"
"TCGA-BG-A0VT-01",0.731351793143412
"TCGA-BG-A0VV-01",0.811204010615302
"TCGA-BG-A0VW-01",0.838384605638569
"TCGA-BG-A0VX-01",0.744642683060769
"TCGA-BG-A0VZ-01",0.792831727447349
"TCGA-BG-A0W1-01",0.813692238739821
"TCGA-BG-A0W2-01",0.667091749507785
"TCGA-BG-A0YU-01",0.761948730794566
"TCGA-BG-A0YV-01",0.840631583963769
"TCGA-BG-A186-01",0.727054205388084
"TCGA-BG-A187-01",0.701950002414997
"TCGA-BG-A18A-01",0.661478224812932
"TCGA-BG-A18B-01",0.826459918224545
"TCGA-BG-A18C-01",0.759583532960266
"TCGA-BG-A221-01",0.8051416897182
"TCGA-BG-A222-01",0.806875551519134
"TCGA-BG-A2AE-01",0.80220091120773
"TCGA-BG-A2L7-01",0.705672528188007
"TCGA-BK-A0C9-01",0.762812021526659
"TCGA-BK-A0CB-01",0.55674133744849
"TCGA-BK-A139-02",0.572529511669734
"TCGA-BK-A13C-01",0.764056675133176
"TCGA-BS-A0T9-01",0.638828055978435
"TCGA-BS-A0TA-01",0.75513066267089
"TCGA-BS-A0TC-01",0.869127094216633
"TCGA-BS-A0TD-01",0.847723398816428
"TCGA-BS-A0TE-01",0.863663049600665
"TCGA-BS-A0TG-01",0.653793349447542
"TCGA-BS-A0TI-01",0.801508625095177
"TCGA-BS-A0TJ-01",0.749724513629928
"TCGA-BS-A0U5-01",0.738333255730095
"TCGA-BS-A0U7-01",0.613217730474394
"TCGA-BS-A0U8-01",0.813873917616105
"TCGA-BS-A0U9-01",0.83075639328571
"TCGA-BS-A0UA-01",0.654617381671356
"TCGA-BS-A0UF-01",0.618809038109973
"TCGA-BS-A0UJ-01",0.851887886503195
"TCGA-BS-A0UL-01",0.62936937522119
"TCGA-BS-A0UT-01",0.749302562483904
"TCGA-BS-A0UV-01",0.8296775009321
"TCGA-BS-A0V6-01",0.831240100398243
"TCGA-BS-A0V8-01",0.777083168707577
"TCGA-BS-A0VI-01",0.79302868877408
"TCGA-BS-A0WQ-01",0.791328027744052
"TCGA-D1-A0ZN-01",0.669453140532641
"TCGA-D1-A0ZO-01",0.654661746623145
"TCGA-D1-A0ZP-01",0.823852513456432
"TCGA-D1-A0ZQ-01",0.601946986056161
"TCGA-D1-A0ZR-01",0.816910395130301
"TCGA-D1-A0ZS-01",0.696602702225434
"TCGA-D1-A0ZV-01",0.747672666254491
"TCGA-D1-A0ZZ-01",0.790201013302394
"TCGA-D1-A101-01",0.652396986917053
"TCGA-D1-A102-01",0.646978918491917
"TCGA-D1-A103-01",0.730450740237636
"TCGA-D1-A15V-01",0.773339244866826
"TCGA-D1-A15W-01",0.753474643024941
"TCGA-D1-A15X-01",0.842696936158448
"TCGA-D1-A15Z-01",0.733723264344661
"TCGA-D1-A160-01",0.797125527113345
"TCGA-D1-A161-01",0.835114941978108
"TCGA-D1-A163-01",0.708238196868064
"TCGA-D1-A165-01",0.758120611990853
"TCGA-D1-A167-01",0.794698159316957
"TCGA-D1-A168-01",0.480347309042763
"TCGA-D1-A169-01",0.582858189355843
"TCGA-D1-A16B-01",0.683380809631326
"TCGA-D1-A16D-01",0.769562338762852
"TCGA-D1-A16E-01",0.812042585205749
"TCGA-D1-A16G-01",0.803960682184843
"TCGA-D1-A16I-01",0.846174088084867
"TCGA-D1-A16J-01",0.772543237758828
"TCGA-D1-A16N-01",0.631072369769781
"TCGA-D1-A16O-01",0.739603307721485
"TCGA-D1-A16Q-01",0.685566351839139
"TCGA-D1-A16R-01",0.633976895725661
"TCGA-D1-A16S-01",0.841482903748926
"TCGA-D1-A16V-01",0.776900310192757
"TCGA-D1-A16X-01",0.713691671679423
"TCGA-D1-A16Y-01",0.808654722954427
"TCGA-D1-A174-01",0.585974845131018
"TCGA-D1-A175-01",0.720493122699952
"TCGA-D1-A176-01",0.806954715715872
"TCGA-D1-A177-01",0.837451809565854
"TCGA-D1-A179-01",0.824638503818134
"TCGA-D1-A17A-01",0.815561272698292
"TCGA-D1-A17B-01",0.498093759047577
"TCGA-D1-A17C-01",0.384642536242213
"TCGA-D1-A17D-01",0.838961076242015
"TCGA-D1-A17F-01",0.862091460341371
"TCGA-D1-A17H-01",0.657988668980558
"TCGA-D1-A17K-01",0.882395545436347
"TCGA-D1-A17L-01",0.802086044787458
"TCGA-D1-A17M-01",0.801183537181165
"TCGA-D1-A17N-01",0.598916388433368
"TCGA-D1-A17Q-01",0.600572798895555
"TCGA-D1-A17R-01",0.581920238914673
"TCGA-D1-A17S-01",0.751941597059423
"TCGA-D1-A17T-01",0.838202579487341
"TCGA-D1-A17U-01",0.737571331330795
"TCGA-D1-A1NS-01",0.821478054275188
"TCGA-D1-A1NU-01",0.852110332532121
"TCGA-D1-A1NW-01",0.845852668202935
"TCGA-D1-A1NX-01",0.867206397447058
"TCGA-D1-A1NY-01",0.701472742711879
"TCGA-D1-A1NZ-01",0.824662660021393
"TCGA-D1-A1O0-01",0.817461745080353
"TCGA-D1-A1O5-01",0.822336242664732
"TCGA-D1-A1O7-01",0.871852737317166
"TCGA-D1-A1O8-01",0.203282661679864
"TCGA-D1-A2G5-01",0.762856700299388
"TCGA-D1-A2G6-01",0.695558290749972
"TCGA-D1-A2G7-01",0.808606781315028
"TCGA-DF-A2KS-01",0.765429194372221
"TCGA-DI-A0WH-01",0.900843809966133
"TCGA-DI-A1BY-01",0.718346964076448
"TCGA-DI-A1NN-01",0.761316844984128
"TCGA-DI-A1NO-01",0.835843551324454
"TCGA-DI-A2QU-01",0.788012501760507
"TCGA-E6-A1LX-01",0.877363017057197
"TCGA-E6-A1LZ-01",0.882740037821998
"TCGA-E6-A1M0-01",0.818084338361399
"TCGA-EC-A1NJ-01",0.639948010461475
"TCGA-EC-A1QX-01",0.763722825531542
"TCGA-EC-A24G-01",0.708101479674418
"TCGA-EO-A1Y5-01",0.816884706518423
"TCGA-EO-A1Y8-01",0.841985193287385
"TCGA-EO-A22R-01",0.726410184926496
"TCGA-EO-A22S-01",0.811096972197571
"TCGA-EO-A22T-01",0.676670556519398
"TCGA-EO-A2CG-01",0.75533458980282
"TCGA-EO-A2CH-01",0.871258548144474
"TCGA-EY-A1G7-01",0.703041017999871
"TCGA-EY-A1G8-01",0.863422091015551
"TCGA-EY-A1GC-01",0.720627373636651
"TCGA-EY-A1GD-01",0.690448753787106
"TCGA-EY-A1GE-01",0.78969729130937
"TCGA-EY-A1GF-01",0.708526374098888
"TCGA-EY-A1GH-01",0.808192358070822
"TCGA-EY-A1GI-01",0.737617768067085
"TCGA-EY-A1GK-01",0.752228570613023
"TCGA-EY-A1GM-01",0.794441639864124
"TCGA-EY-A1GQ-01",0.753486795391061
"TCGA-EY-A1GR-01",0.758530969955605
"TCGA-EY-A1GS-01",0.881582703815436
"TCGA-EY-A1GU-01",0.782896086641499
"TCGA-EY-A1GV-01",0.82836842417221
"TCGA-EY-A1GW-01",0.771502554676047
"TCGA-EY-A1H0-01",0.890242085082005
"TCGA-EY-A212-01",0.846182183654094
"TCGA-EY-A214-01",0.655126292410247
"TCGA-EY-A215-01",0.826281854941125
"TCGA-EY-A2OM-01",0.66407771847115
"TCGA-FI-A2CX-01",0.0678430781925215
"TCGA-FI-A2CY-01",0.733804344898457
"TCGA-FI-A2D0-01",0.77453804990106
"TCGA-FI-A2D2-01",0.769630670037142
"TCGA-FI-A2D4-01",0.788419213421302
"TCGA-FI-A2D5-01",0.659529677008219
"TCGA-FI-A2D6-01",0.764236723211002
"TCGA-FI-A2EU-01",0.851820615876472
"TCGA-FI-A2EW-01",0.848174823092198
"TCGA-FI-A2EX-01",0.839816017820427
"TCGA-FI-A2F4-01",0.820353097598279
"TCGA-FI-A2F8-01",0.789175019681238
"TCGA-FI-A2F9-01",0.784824359105452
